Location,Area (sqft),Bedrooms,Bathrooms,Parking Spaces,Age of Property (years),Floor,Total Floors,Furnishing,Property Type,Nearby Metro (Y/N),Price (Lakhs)
Whitefield,4806,4,5,2,21,1,1,Fully-Furnished,Apartment,N,250.42
Malleswaram,2592,2,1,2,26,4,4,Unfurnished,Independent House,N,178.24
JP Nagar,615,2,2,1,9,3,7,Fully-Furnished,Apartment,N,24.67
Koramangala,1404,5,1,0,4,4,5,Semi-Furnished,Apartment,N,131.24
BTM Layout,3202,4,2,2,13,1,2,Semi-Furnished,Independent House,N,233.78
Kengeri,4160,4,4,3,23,1,4,Semi-Furnished,Apartment,N,191.37
Kengeri,1868,5,4,1,4,5,6,Unfurnished,Apartment,N,111.97
Whitefield,2221,3,2,3,30,6,10,Fully-Furnished,Independent House,N,158.29
HSR Layout,1440,4,5,1,28,1,2,Semi-Furnished,Independent House,Y,92.2
Sarjapur Road,3518,5,3,2,14,7,9,Unfurnished,Independent House,N,256.35
Ulsoor,3306,5,4,2,22,4,6,Semi-Furnished,Independent House,Y,203.59
Basavanagudi,4755,5,4,2,10,7,9,Fully-Furnished,Independent House,Y,362.58
Sarjapur Road,2810,4,5,2,12,3,3,Unfurnished,Apartment,N,215.94
Basavanagudi,2356,5,1,0,21,3,9,Unfurnished,Independent House,Y,163.8
Electronic City,3811,4,1,1,17,8,8,Semi-Furnished,Independent House,Y,289.17
Rajajinagar,2118,4,3,0,8,3,9,Fully-Furnished,Independent House,N,142.05
Bellandur,785,4,3,0,10,2,3,Unfurnished,Apartment,Y,54.02
HSR Layout,1791,2,2,1,16,2,9,Unfurnished,Independent House,Y,82.49
Basavanagudi,2636,3,5,0,25,2,6,Fully-Furnished,Independent House,N,201.94
Indiranagar,685,4,2,3,12,2,2,Unfurnished,Independent House,Y,69.49
Bellandur,3500,5,1,2,23,3,8,Unfurnished,Apartment,N,262.19
Koramangala,2328,5,4,2,17,1,1,Semi-Furnished,Independent House,N,231.61
HSR Layout,1258,3,4,0,14,2,3,Fully-Furnished,Apartment,N,60.31
Ulsoor,4799,2,3,1,0,4,5,Unfurnished,Apartment,Y,210.27
JP Nagar,2116,5,3,0,16,3,3,Unfurnished,Independent House,N,147.79
JP Nagar,3086,2,3,2,12,1,3,Unfurnished,Apartment,N,172.9
Jayanagar,2887,1,3,0,29,8,10,Semi-Furnished,Independent House,N,152.04
Yelahanka,1456,3,2,2,11,1,4,Fully-Furnished,Independent House,Y,99.89
HSR Layout,4805,1,4,1,20,1,2,Fully-Furnished,Apartment,Y,290.75
Ulsoor,3054,2,3,0,8,1,1,Fully-Furnished,Apartment,Y,155.15
Rajajinagar,2942,4,1,1,29,6,7,Semi-Furnished,Apartment,N,215.34
Bannerghatta Road,3959,2,3,3,11,2,10,Unfurnished,Apartment,N,221.51
Rajajinagar,4829,4,2,0,18,1,1,Semi-Furnished,Apartment,N,211.35
Ulsoor,1247,1,4,3,15,2,2,Semi-Furnished,Independent House,Y,96.67
Malleswaram,3082,4,3,0,13,1,2,Fully-Furnished,Independent House,Y,174.32
HSR Layout,1609,3,2,0,5,5,7,Unfurnished,Independent House,Y,82.21
Malleshwaram,1333,5,3,2,10,2,9,Unfurnished,Apartment,Y,129.49
JP Nagar,3274,5,2,0,4,1,5,Unfurnished,Independent House,Y,146.48
JP Nagar,3961,1,3,3,10,1,3,Unfurnished,Independent House,N,223.76
Electronic City,1827,4,1,2,0,3,3,Semi-Furnished,Apartment,Y,115.04
Hebbal,3717,4,3,1,24,6,6,Fully-Furnished,Apartment,N,239.35
Bannerghatta Road,2587,3,3,3,15,4,5,Fully-Furnished,Independent House,N,196.82
HSR Layout,608,4,2,3,0,2,7,Unfurnished,Independent House,Y,26.99
Malleswaram,3620,1,5,1,5,8,10,Unfurnished,Independent House,N,203.23
Malleswaram,1474,3,1,1,20,3,7,Unfurnished,Apartment,Y,84.16
Malleswaram,3891,1,2,2,19,3,5,Semi-Furnished,Independent House,Y,304.39
Basavanagudi,4902,1,5,0,17,7,9,Fully-Furnished,Apartment,N,366.43
Rajajinagar,2454,2,2,3,23,1,2,Unfurnished,Independent House,Y,125.24
Hebbal,3467,4,1,2,17,2,2,Unfurnished,Independent House,Y,169.68
Indiranagar,4155,3,4,2,17,2,5,Fully-Furnished,Apartment,Y,402.31
Basavanagudi,885,2,4,3,14,6,7,Unfurnished,Independent House,N,55.44
Koramangala,900,4,2,1,2,1,1,Fully-Furnished,Apartment,Y,54.09
Hebbal,4120,5,3,1,27,1,6,Fully-Furnished,Independent House,Y,234.94
Malleswaram,2657,4,1,2,1,3,10,Semi-Furnished,Independent House,Y,195.43
JP Nagar,4972,1,1,3,2,5,6,Semi-Furnished,Independent House,Y,252.97
Electronic City,2251,3,4,0,30,1,6,Fully-Furnished,Independent House,N,104.59
Sarjapur Road,1045,5,3,1,30,2,7,Semi-Furnished,Apartment,Y,51.29
Whitefield,768,4,3,0,29,2,3,Unfurnished,Independent House,Y,56.29
Electronic City,1807,2,2,3,5,7,9,Unfurnished,Independent House,Y,101.5
Rajajinagar,2148,1,4,2,10,1,1,Semi-Furnished,Independent House,Y,170.09
Rajajinagar,1729,5,1,0,29,6,7,Fully-Furnished,Apartment,Y,116.17
Koramangala,1474,3,3,1,12,8,9,Semi-Furnished,Apartment,N,117.9
Hebbal,2703,5,4,0,24,2,4,Semi-Furnished,Apartment,Y,179.89
Bannerghatta Road,3037,2,2,0,8,5,5,Unfurnished,Independent House,Y,211.57
JP Nagar,3931,3,4,3,9,2,2,Semi-Furnished,Apartment,N,217.32
Kengeri,1189,5,2,1,14,6,10,Unfurnished,Apartment,Y,74.06
Kengeri,2327,2,5,3,15,1,6,Unfurnished,Apartment,N,94.5
Basavanagudi,4310,5,4,1,14,7,9,Unfurnished,Independent House,N,232.93
JP Nagar,2832,2,2,0,13,4,6,Semi-Furnished,Apartment,Y,116.3
Indiranagar,1350,3,5,1,19,3,4,Fully-Furnished,Independent House,Y,94.5
Jayanagar,1811,1,1,2,10,4,7,Semi-Furnished,Apartment,Y,127.82
Rajajinagar,1608,3,4,2,29,3,5,Unfurnished,Apartment,Y,116.09
Koramangala,2881,1,3,3,14,2,2,Fully-Furnished,Apartment,N,173.07
Sarjapur Road,3114,1,1,3,16,1,3,Semi-Furnished,Independent House,N,191.9
Ulsoor,2904,5,5,2,11,5,6,Fully-Furnished,Apartment,N,123.07
Yelahanka,2715,1,4,0,2,3,4,Semi-Furnished,Apartment,N,157.75
HSR Layout,657,4,3,3,19,1,1,Semi-Furnished,Apartment,N,32.06
Rajajinagar,2924,2,3,3,12,6,8,Fully-Furnished,Independent House,N,177.02
Yelahanka,3904,3,5,3,25,1,1,Fully-Furnished,Apartment,N,281.16
Ulsoor,4841,1,4,1,30,3,8,Unfurnished,Apartment,Y,264.6
Whitefield,1093,1,2,0,10,1,3,Unfurnished,Apartment,Y,54.56
Whitefield,946,4,5,2,30,1,6,Semi-Furnished,Independent House,Y,75.51
Jayanagar,963,3,4,1,30,2,8,Fully-Furnished,Apartment,N,79.23
Sarjapur Road,2246,4,1,3,18,4,6,Unfurnished,Independent House,Y,143.73
Basavanagudi,3538,5,4,0,24,1,1,Unfurnished,Independent House,N,277.63
Malleshwaram,4766,3,2,1,9,1,8,Semi-Furnished,Apartment,Y,484.41
Koramangala,1872,5,1,0,22,5,6,Unfurnished,Independent House,N,159.63
Jayanagar,1209,4,3,3,10,1,4,Semi-Furnished,Independent House,N,120.13
JP Nagar,2024,5,5,2,10,5,5,Unfurnished,Independent House,Y,106.65
Bellandur,1287,5,3,2,23,2,6,Fully-Furnished,Apartment,Y,98.54
Electronic City,3207,1,4,1,4,2,4,Semi-Furnished,Apartment,Y,168.36
Hebbal,2792,2,1,0,14,1,2,Unfurnished,Apartment,Y,205.92
Whitefield,1826,4,4,2,19,2,2,Semi-Furnished,Independent House,Y,133.41
Malleshwaram,3508,1,4,1,1,2,3,Fully-Furnished,Apartment,N,200.41
Sarjapur Road,1816,2,2,2,13,5,7,Unfurnished,Apartment,N,111.21
Bannerghatta Road,1918,1,2,2,2,2,2,Semi-Furnished,Apartment,N,125.45
Rajajinagar,3980,4,3,2,5,2,2,Fully-Furnished,Apartment,N,178.39
Hebbal,813,4,2,2,3,1,1,Fully-Furnished,Independent House,Y,37.96
Basavanagudi,1124,5,5,0,19,1,3,Semi-Furnished,Apartment,N,66.57
Basavanagudi,4580,4,4,1,26,7,7,Unfurnished,Independent House,N,244.72
Yelahanka,734,4,3,2,26,1,1,Fully-Furnished,Independent House,N,38.47
Bellandur,1521,3,1,1,23,4,8,Fully-Furnished,Independent House,Y,112.0
Whitefield,779,1,2,0,4,4,7,Fully-Furnished,Apartment,N,47.49
Jayanagar,1665,5,1,2,22,4,9,Fully-Furnished,Apartment,Y,149.59
Marathahalli,2225,4,2,1,20,6,6,Fully-Furnished,Apartment,Y,93.69
Malleswaram,1151,2,5,3,28,3,9,Unfurnished,Apartment,N,74.39
Bellandur,1188,5,4,0,5,3,4,Semi-Furnished,Apartment,N,87.03
JP Nagar,4191,1,4,0,1,5,10,Fully-Furnished,Apartment,Y,240.51
BTM Layout,1090,1,2,2,13,3,3,Semi-Furnished,Independent House,Y,85.11
Rajajinagar,959,5,1,0,10,2,4,Unfurnished,Apartment,Y,62.55
Electronic City,2908,2,2,3,0,2,2,Unfurnished,Independent House,Y,118.73
Indiranagar,722,1,1,2,24,1,2,Unfurnished,Apartment,Y,59.17
Marathahalli,3525,3,5,1,30,1,5,Semi-Furnished,Independent House,N,179.33
Electronic City,4065,5,1,3,0,1,2,Fully-Furnished,Apartment,Y,252.17
Hebbal,1309,4,3,3,30,1,6,Unfurnished,Independent House,N,62.05
Marathahalli,1329,1,5,2,17,5,6,Unfurnished,Apartment,N,82.78
Koramangala,2194,2,1,3,30,5,10,Semi-Furnished,Independent House,N,222.98
Ulsoor,4857,4,2,1,14,5,10,Fully-Furnished,Independent House,N,263.96
Rajajinagar,2452,1,3,3,0,7,7,Semi-Furnished,Apartment,Y,109.41
Malleshwaram,1027,1,5,2,9,2,3,Unfurnished,Independent House,N,106.27
JP Nagar,3886,5,4,1,29,6,6,Unfurnished,Apartment,N,157.35
Rajajinagar,4665,2,2,0,30,1,2,Semi-Furnished,Apartment,N,229.67
JP Nagar,746,1,5,3,15,6,6,Unfurnished,Apartment,Y,53.01
Electronic City,4850,3,4,2,29,2,5,Semi-Furnished,Independent House,N,345.0
BTM Layout,2511,5,3,2,20,8,9,Unfurnished,Apartment,Y,133.32
Hebbal,3118,4,1,3,11,2,7,Fully-Furnished,Apartment,Y,188.34
Sarjapur Road,2870,3,2,3,9,6,8,Semi-Furnished,Apartment,Y,189.93
Hebbal,2373,1,1,0,17,8,8,Fully-Furnished,Independent House,Y,162.87
Kengeri,2955,1,5,0,0,3,3,Semi-Furnished,Independent House,N,234.02
Basavanagudi,665,4,4,0,5,3,3,Semi-Furnished,Independent House,Y,33.2
Rajajinagar,4349,3,4,3,21,2,2,Unfurnished,Independent House,N,295.52
HSR Layout,4348,5,2,2,16,4,4,Semi-Furnished,Independent House,N,209.85
Bannerghatta Road,628,1,2,1,25,1,10,Semi-Furnished,Independent House,N,34.47
Yelahanka,2810,1,1,3,15,3,3,Semi-Furnished,Independent House,N,214.67
JP Nagar,1432,2,5,3,6,4,4,Unfurnished,Apartment,N,85.01
Yelahanka,1668,2,1,0,27,5,10,Fully-Furnished,Independent House,N,112.44
Marathahalli,935,5,2,2,30,7,9,Semi-Furnished,Apartment,N,74.06
BTM Layout,1436,1,4,1,14,3,4,Fully-Furnished,Independent House,Y,97.84
Malleswaram,2853,5,5,1,23,2,10,Fully-Furnished,Apartment,N,166.15
Sarjapur Road,3016,1,5,2,21,4,9,Unfurnished,Apartment,N,237.85
Kengeri,3239,4,5,0,28,1,2,Unfurnished,Apartment,N,193.62
Jayanagar,4107,3,3,1,7,2,7,Fully-Furnished,Independent House,N,362.44
Rajajinagar,2240,2,3,1,0,3,10,Semi-Furnished,Independent House,Y,154.91
Ulsoor,2782,3,5,1,10,1,2,Semi-Furnished,Independent House,N,195.56
Marathahalli,4566,1,3,2,29,4,10,Semi-Furnished,Apartment,N,268.81
Whitefield,3781,2,1,3,23,5,10,Unfurnished,Independent House,N,301.97
Malleshwaram,3790,1,3,3,14,8,10,Fully-Furnished,Independent House,Y,356.06
Sarjapur Road,2838,5,1,1,1,6,10,Fully-Furnished,Independent House,Y,152.33
HSR Layout,1422,4,4,3,28,2,2,Unfurnished,Independent House,N,74.74
Ulsoor,2100,2,5,2,24,2,6,Unfurnished,Apartment,N,144.86
Yelahanka,1847,1,5,0,27,5,5,Semi-Furnished,Independent House,N,98.24
Electronic City,3428,3,5,2,27,7,10,Unfurnished,Apartment,N,229.88
HSR Layout,1691,2,4,1,25,6,10,Unfurnished,Apartment,N,129.15
Ulsoor,3046,2,5,2,15,2,6,Unfurnished,Apartment,Y,142.11
Malleshwaram,695,4,2,1,14,3,3,Unfurnished,Apartment,N,61.56
Whitefield,1699,1,5,3,22,8,10,Unfurnished,Apartment,N,84.71
Indiranagar,1715,4,1,3,12,7,8,Unfurnished,Independent House,N,98.11
Bannerghatta Road,759,5,1,0,12,1,3,Semi-Furnished,Apartment,N,40.97
Bannerghatta Road,1371,5,2,0,13,2,9,Semi-Furnished,Independent House,N,100.02
Whitefield,3195,1,5,1,21,6,8,Semi-Furnished,Apartment,N,171.8
Sarjapur Road,1730,1,4,1,21,1,3,Unfurnished,Independent House,N,96.56
Koramangala,4912,1,5,2,27,1,7,Unfurnished,Apartment,N,510.55
Ulsoor,4988,4,4,3,16,3,9,Fully-Furnished,Apartment,N,209.25
Marathahalli,1472,3,4,0,2,5,7,Fully-Furnished,Independent House,N,95.15
Electronic City,2324,5,2,3,0,1,4,Unfurnished,Apartment,Y,158.34
Marathahalli,1329,1,2,2,23,2,2,Unfurnished,Independent House,Y,53.22
Basavanagudi,2430,3,1,3,1,1,2,Fully-Furnished,Apartment,N,173.0
Malleshwaram,2190,2,5,3,28,8,8,Fully-Furnished,Apartment,N,126.36
BTM Layout,1017,1,4,0,13,2,9,Fully-Furnished,Apartment,N,77.51
Koramangala,4106,3,2,3,28,7,10,Semi-Furnished,Apartment,N,301.39
Sarjapur Road,4374,3,1,0,17,3,6,Semi-Furnished,Apartment,Y,245.07
Malleswaram,877,1,2,1,21,1,6,Unfurnished,Apartment,Y,60.99
Indiranagar,2781,5,4,3,25,5,10,Unfurnished,Apartment,N,162.62
Whitefield,2234,3,3,1,4,5,5,Semi-Furnished,Apartment,Y,127.64
Bannerghatta Road,738,3,2,0,12,1,1,Semi-Furnished,Apartment,N,31.84
Kengeri,3430,2,3,2,18,2,3,Semi-Furnished,Independent House,Y,196.51
Malleshwaram,3070,2,5,0,3,1,1,Semi-Furnished,Independent House,Y,277.96
Whitefield,1946,5,1,0,3,2,8,Semi-Furnished,Apartment,Y,88.84
Hebbal,2285,1,3,2,10,1,10,Unfurnished,Independent House,Y,162.09
Bellandur,1885,5,3,2,18,8,8,Fully-Furnished,Independent House,N,129.19
HSR Layout,1442,1,5,2,12,3,7,Semi-Furnished,Independent House,Y,59.78
Jayanagar,970,5,2,3,4,3,3,Unfurnished,Apartment,Y,76.84
Basavanagudi,2736,4,1,1,20,6,8,Unfurnished,Independent House,N,123.65
Indiranagar,4398,2,4,2,22,1,3,Unfurnished,Apartment,Y,417.73
Ulsoor,4527,2,1,2,23,4,5,Fully-Furnished,Independent House,N,205.36
Hebbal,4560,2,5,0,30,1,4,Unfurnished,Independent House,N,203.75
Indiranagar,754,4,4,2,27,2,7,Fully-Furnished,Independent House,N,48.57
Malleswaram,4702,4,2,1,11,5,8,Fully-Furnished,Apartment,Y,345.0
HSR Layout,1788,1,3,0,18,9,9,Semi-Furnished,Apartment,N,135.67
Malleshwaram,4189,1,2,3,4,1,1,Fully-Furnished,Apartment,Y,266.71
Bellandur,4009,5,1,3,16,2,10,Fully-Furnished,Apartment,N,225.62
Indiranagar,3118,3,4,0,16,1,2,Semi-Furnished,Independent House,Y,172.18
BTM Layout,1758,3,2,3,21,1,2,Fully-Furnished,Apartment,Y,71.84
Kengeri,2365,2,2,3,29,1,10,Semi-Furnished,Apartment,Y,145.61
HSR Layout,1032,2,4,3,22,3,5,Semi-Furnished,Apartment,Y,80.16
Yelahanka,2498,5,1,3,30,1,3,Semi-Furnished,Independent House,Y,166.06
Hebbal,3716,4,5,2,25,5,6,Unfurnished,Apartment,Y,171.78
Bellandur,1552,3,2,0,25,2,2,Unfurnished,Apartment,N,103.54
Sarjapur Road,3502,5,1,0,23,2,6,Unfurnished,Apartment,N,236.24
Rajajinagar,749,2,1,2,17,1,1,Unfurnished,Apartment,N,42.96
Basavanagudi,4227,4,4,3,13,2,5,Fully-Furnished,Apartment,Y,172.54
Marathahalli,1016,1,3,3,21,10,10,Semi-Furnished,Independent House,N,50.41
Electronic City,2718,1,3,1,11,4,6,Fully-Furnished,Independent House,N,115.43
JP Nagar,1083,3,4,2,24,2,2,Unfurnished,Apartment,Y,59.82
Basavanagudi,794,1,5,1,5,1,2,Unfurnished,Independent House,Y,53.6
Rajajinagar,3263,2,1,3,16,1,6,Semi-Furnished,Independent House,Y,223.78
Basavanagudi,2216,1,3,1,0,1,1,Semi-Furnished,Apartment,N,154.88
Marathahalli,667,2,1,1,0,4,5,Unfurnished,Apartment,Y,42.96
Jayanagar,3583,4,3,3,12,4,4,Fully-Furnished,Independent House,Y,238.5
Ulsoor,4553,5,2,3,19,2,2,Fully-Furnished,Apartment,Y,214.93
Hebbal,980,1,5,3,18,1,1,Fully-Furnished,Independent House,N,42.29
JP Nagar,3770,3,5,3,9,5,7,Semi-Furnished,Independent House,Y,222.37
Sarjapur Road,1273,1,1,0,25,2,4,Fully-Furnished,Independent House,Y,86.17
Koramangala,2459,2,3,3,6,4,5,Semi-Furnished,Independent House,Y,166.83
HSR Layout,1083,2,2,0,6,4,5,Fully-Furnished,Independent House,N,65.94
BTM Layout,4300,2,4,0,19,1,1,Unfurnished,Apartment,Y,284.89
Malleswaram,4518,5,3,1,20,3,6,Semi-Furnished,Apartment,N,194.16
Ulsoor,4823,3,2,3,17,1,1,Fully-Furnished,Apartment,Y,340.89
Hebbal,1124,2,1,2,6,4,6,Semi-Furnished,Apartment,Y,77.47
Malleshwaram,2415,1,4,3,17,2,9,Fully-Furnished,Apartment,Y,172.29
Bellandur,4017,2,2,2,16,1,9,Unfurnished,Independent House,Y,217.82
Whitefield,1377,5,5,0,24,2,2,Fully-Furnished,Independent House,Y,82.16
BTM Layout,1120,3,4,0,19,10,10,Unfurnished,Independent House,N,70.13
BTM Layout,2172,2,4,0,14,9,10,Fully-Furnished,Independent House,N,152.08
Jayanagar,2602,3,4,0,13,5,5,Fully-Furnished,Apartment,Y,230.23
Whitefield,4309,2,5,3,3,7,10,Semi-Furnished,Apartment,N,175.74
Yelahanka,4900,2,1,0,5,3,3,Semi-Furnished,Independent House,Y,249.24
Sarjapur Road,1516,4,5,1,19,2,3,Unfurnished,Apartment,Y,114.08
Bellandur,1221,5,1,1,23,2,3,Fully-Furnished,Independent House,N,89.23
Jayanagar,1607,5,3,3,30,2,8,Fully-Furnished,Independent House,N,86.91
Bannerghatta Road,618,4,5,2,22,3,5,Semi-Furnished,Apartment,N,43.42
BTM Layout,3006,4,2,2,10,4,9,Semi-Furnished,Apartment,N,175.49
Ulsoor,4840,4,1,1,1,8,10,Unfurnished,Apartment,N,209.89
Bannerghatta Road,4468,5,1,3,4,5,7,Unfurnished,Apartment,N,259.32
Whitefield,3226,2,1,0,8,1,1,Unfurnished,Apartment,Y,197.69
Whitefield,993,3,1,2,22,2,2,Fully-Furnished,Independent House,Y,48.95
JP Nagar,1594,1,2,1,8,3,7,Unfurnished,Independent House,Y,93.87
Malleswaram,2591,4,5,0,8,6,6,Semi-Furnished,Apartment,N,149.78
Bellandur,2394,4,1,1,10,1,1,Fully-Furnished,Independent House,Y,166.26
Ulsoor,4014,1,3,0,2,3,7,Unfurnished,Apartment,Y,254.09
Ulsoor,3455,1,4,1,28,3,7,Unfurnished,Apartment,Y,175.37
Basavanagudi,1396,1,1,3,2,1,4,Semi-Furnished,Independent House,N,88.48
Jayanagar,4949,1,4,0,19,1,2,Fully-Furnished,Apartment,N,461.38
HSR Layout,4835,3,1,0,23,5,6,Semi-Furnished,Apartment,Y,346.31
Rajajinagar,3412,5,2,2,16,3,3,Semi-Furnished,Apartment,Y,147.03
Malleshwaram,2716,1,1,1,28,4,10,Unfurnished,Independent House,N,236.84
JP Nagar,3507,4,2,0,25,1,9,Semi-Furnished,Independent House,N,209.47
BTM Layout,3270,3,3,1,3,5,6,Semi-Furnished,Independent House,N,182.92
Indiranagar,4843,4,3,2,19,1,4,Unfurnished,Apartment,Y,410.95
HSR Layout,3466,5,5,2,30,1,4,Unfurnished,Apartment,Y,263.09
Basavanagudi,4054,1,4,0,25,9,10,Fully-Furnished,Apartment,N,222.33
Rajajinagar,4841,1,4,1,29,1,2,Unfurnished,Independent House,Y,206.88
Rajajinagar,1068,2,3,3,29,2,2,Fully-Furnished,Independent House,Y,50.79
Bannerghatta Road,2336,1,4,3,6,1,10,Semi-Furnished,Apartment,Y,184.67
Kengeri,2208,3,4,3,30,4,10,Unfurnished,Independent House,Y,153.19
